montant,nb_achats,recence,satisfaction
536.6,1,50.72,5.0
109.78,1,438.52,5.0
144.94,1,696.9,4.0
62.45,1,48.73,5.0
425.04,1,69.33,5.0
226.23,1,55.79,3.0
44.23,1,118.7,5.0
273.06,2,113.78,5.0
21.77,1,228.84,4.0
42.62,1,478.99,5.0
162.77,1,389.7,4.0
109.5,1,214.73,5.0
237.0,1,216.8,4.0
65.78,1,281.77,2.0
443.73,1,219.63,3.0
143.73000000000002,1,524.86,5.0
228.79,1,417.0,5.0
107.81,1,154.48,5.0
119.32,1,28.52,3.0
181.82,1,39.92,5.0
157.45999999999998,1,19.78,5.0
36.98,1,170.59,5.0
216.32,1,18.9,3.0
147.38,1,27.71,3.0
142.51,1,240.91,5.0
178.59,1,275.8,5.0
542.66,1,123.85,4.0
137.26,1,538.72,5.0
31.87,2,139.5,4.0
162.79,1,287.49,5.0
77.59,1,34.94,5.0
103.47,1,117.83,3.0
216.99,2,318.71,1.0
259.15,1,163.85,5.0
103.28,2,232.02,5.0
85.03999999999999,1,274.84,4.0
62.91,1,39.61,5.0
64.42,1,500.84,5.0
52.38,1,450.7,4.0
128.95000000000002,1,545.5,5.0
83.32,1,88.64,3.0
24.130000000000003,1,75.41,5.0
112.33,1,397.57,5.0
76.18,1,370.94,4.0
82.65,1,18.68,4.0
41.04,1,25.86,5.0
32.77,1,247.88,5.0
26.01,1,446.55,3.0
54.52,2,544.78,2.0
44.18,1,46.03,5.0
84.00999999999999,1,260.95,5.0
49.85,2,99.56,3.0
158.74,1,28.86,5.0
39.78,1,202.03,5.0
993.55,1,48.82,3.0
109.29,1,392.52,3.0
94.54,2,130.41,4.0
86.35,2,22.41,3.0
68.22,1,124.02,5.0
127.98,1,519.81,5.0
1600.51,1,154.46,5.0
58.25,1,126.98,4.0
73.96000000000001,1,282.71,5.0
364.75,1,548.68,5.0
83.23,1,200.93,5.0
171.88,1,25.47,5.0
109.23,1,155.94,5.0
129.19,2,43.89,5.0
32.379999999999995,1,302.49,4.0
82.86,1,12.93,4.0
78.88,1,107.8,4.0
96.02,2,164.58,3.0
46.69,1,447.47,5.0
89.25,1,114.98,5.0
49.6,1,364.47,5.0
187.96,1,336.96,4.0
777.6800000000001,1,103.44,3.0
63.9,1,304.74,4.0
272.04,1,37.85,5.0
236.81,1,354.75,5.0
204.83,1,364.97,5.0
31.130000000000003,1,161.53,5.0
154.53,1,144.89,5.0
149.87,1,190.47,5.0
35.69,2,233.94,5.0
67.3,4,184.98,5.0
65.33,1,74.43,4.0
23.72,1,188.64,1.0
119.32,1,328.76,4.0
31.22,1,57.51,4.0
94.35,1,363.8,4.0
190.28,1,75.88,5.0
79.50999999999999,1,68.87,5.0
66.64,1,281.65,2.0
150.29999999999998,2,274.87,1.0
108.46,1,146.72,5.0
34.0,1,199.54,5.0
77.22,1,80.39,5.0
99.32,1,393.95,5.0
199.79,1,266.5,5.0
61.77,1,321.84,5.0
46.1,1,204.47,5.0
123.39,1,398.42,4.0
47.93,1,23.67,5.0
118.54,1,107.03,5.0
211.01,1,231.36,5.0
78.2,1,162.82,1.0
624.9,1,115.92,5.0
233.93,1,207.42,5.0
119.45,1,60.93,4.0
215.01,1,388.68,5.0
70.53,1,401.59,5.0
321.57,1,346.58,3.0
159.65,1,76.0,4.0
874.42,1,175.62,5.0
66.72,1,118.8,5.0
44.09,1,255.34,4.0
112.08,1,505.46,1.0
67.36,1,146.81,5.0
41.69,1,280.58,5.0
64.0,1,277.6,4.0
126.48,1,211.48,5.0
90.85,1,341.77,5.0
40.94,1,111.49,4.0
147.78,1,88.39,2.0
67.57,1,244.69,5.0
70.75,1,176.38,1.0
42.35,1,239.86,5.0
64.55,1,515.49,5.0
195.93,3,215.76,2.0
349.53,1,165.38,5.0
260.55,1,410.56,5.0
183.05,1,72.55,4.0
151.11,1,563.5,5.0
45.25,2,11.93,5.0
45.13,1,176.56,4.0
136.64,1,18.42,5.0
132.05,1,375.84,5.0
64.03999999999999,1,142.52,4.0
336.56,1,584.96,5.0
40.77,1,459.43,5.0
166.59,1,277.99,5.0
30.270000000000003,1,355.43,5.0
25.85,1,396.85,5.0
108.83,1,210.41,5.0
93.78,1,436.9,2.0
149.69,1,285.61,2.0
226.22,1,447.56,5.0
43.58,1,279.51,4.0
185.83,1,522.94,5.0
89.1,1,61.72,5.0
110.72,1,438.79,5.0
192.56,4,537.61,1.0
186.92,1,401.87,5.0
147.97,1,202.41,5.0
35.4,1,352.32,2.0
101.73,1,279.78,5.0
68.17999999999999,7,136.91,1.0
66.91,1,245.59,4.0
79.38,1,86.88,5.0
98.16,1,132.82,4.0
147.55,1,503.6,5.0
91.29,1,290.73,5.0
21.04,1,152.01,5.0
136.8,1,131.07,4.0
49.69,1,441.02,2.0
144.31,1,128.64,3.0
199.26,1,19.9,5.0
42.47,1,75.05,4.0
101.34,1,249.84,4.0
114.58,1,34.85,3.0
36.48,1,277.96,4.0
66.99,1,550.98,4.0
116.84,1,14.65,5.0
26.78,2,91.95,4.0
105.08,1,204.67,4.0
60.05,1,423.43,5.0
182.29,1,247.49,4.0
64.42,1,508.84,2.0
259.4,1,167.04,5.0
132.48,1,199.55,1.0
33.37,1,152.79,5.0
144.66,1,274.87,5.0
40.6,1,279.94,5.0
231.45,1,492.78,5.0
78.51,1,72.44,5.0
100.54,1,523.81,5.0
660.07,2,299.63,1.0
14.7,5,115.45,1.0
140.0,1,355.03,5.0
74.38,2,236.86,5.0
138.41,1,400.87,5.0
418.17,1,268.78,5.0
32.29,2,115.08,5.0
200.08,1,227.28,1.0
146.9,1,283.93,1.0
177.59,1,191.44,5.0
35.05,1,92.79,5.0
103.27,1,31.01,5.0
283.54,1,152.85,5.0
107.78,1,326.89,4.0
106.16,1,280.38,5.0
128.59,1,444.59,5.0
181.05,1,74.57,5.0
223.88,1,166.4,5.0
94.36,1,32.84,5.0
79.35000000000001,2,418.41,1.0
45.07,1,231.84,2.0
77.57,1,308.47,5.0
63.61,1,175.63,5.0
16.78,1,209.58,4.0
55.6,1,285.72,5.0
169.37,1,127.85,5.0
121.68,1,108.36,5.0
68.66,1,282.62,1.0
63.33,2,249.0,3.0
204.24,1,535.49,4.0
88.94,1,185.53,5.0
388.74,1,80.72,4.0
2304.68,1,37.78,5.0
111.32,1,277.46,5.0
130.15,1,289.51,5.0
57.93,1,129.46,5.0
36.69,1,182.5,4.0
73.62,1,306.43,5.0
207.03,2,533.86,3.0
72.05,1,275.72,5.0
67.78999999999999,1,281.43,4.0
83.00999999999999,1,318.49,1.0
170.68,1,43.46,5.0
138.74,1,131.82,5.0
85.27,1,37.52,5.0
85.14,1,266.89,1.0
55.06,1,167.4,1.0
437.84,1,89.87,5.0
41.64,1,34.49,5.0
81.78,4,530.53,4.0
71.13,1,262.7,5.0
187.94,1,502.86,5.0
95.22,1,527.82,4.0
68.32,1,117.86,5.0
95.21,1,432.91,4.0
44.96,2,127.57,5.0
284.23,1,138.97,5.0
37.13,1,136.83,5.0
35.09,1,443.41,5.0
178.46,1,226.85,4.0
71.05,2,150.9,1.0
280.65,1,32.53,5.0
115.4,1,444.89,4.0
67.43,1,64.87,5.0
124.83,1,50.86,4.0
23.28,1,14.62,5.0
92.05,1,428.96,5.0
246.38,1,267.43,1.0
27.87,1,229.45,5.0
51.14,1,208.89,4.0
71.85,1,115.9,5.0
372.69,1,214.68,5.0
127.14,1,193.91,5.0
82.33000000000001,3,108.94,3.0
351.33,1,133.83,5.0
212.43,1,403.96,5.0
73.09,2,276.16,4.0
109.31,1,480.0,5.0
168.08,1,60.47,3.0
137.99,1,376.88,5.0
28.69,1,282.25,5.0
65.0,1,263.94,5.0
73.00999999999999,1,44.95,5.0
123.49,1,48.95,5.0
147.15,1,231.59,4.0
185.9,1,149.03,4.0
215.05,1,364.49,5.0
128.45,1,140.88,2.0
95.83,1,289.45,3.0
44.09,1,246.45,3.0
68.89,1,341.7,4.0
81.24000000000001,1,172.83,5.0
45.2,1,278.45,1.0
159.31,1,211.78,5.0
34.86,1,503.99,4.0
420.94,1,386.67,1.0
149.06,2,228.59,1.0
127.71,1,166.6,5.0
40.55,1,194.4,3.0
46.94,1,32.69,5.0
40.61,1,277.47,4.0
62.44,2,280.41,5.0
92.57,1,266.55,4.0
104.48,2,177.61,3.0
123.75,1,47.82,4.0
186.61,2,547.36,5.0
235.13,1,449.63,5.0
29.69,1,127.38,5.0
148.70000000000002,1,36.65,3.0
39.37,1,14.43,5.0
42.86,1,11.86,5.0
159.86,1,236.59,5.0
87.97,1,103.46,5.0
28.19,1,178.46,5.0
149.29,3,230.63,1.0
70.88,1,107.52,5.0
108.2,1,92.4,5.0
60.72,3,29.9,3.0
49.37,1,131.42,4.0
199.4,1,43.54,5.0
75.19,1,143.7,4.0
213.43,1,239.64,5.0
161.62,1,312.46,2.0
123.47,1,373.91,5.0
114.52,1,103.56,5.0
36.98,1,106.71,5.0
227.27,1,395.67,4.0
35.0,1,464.4,4.0
273.25,1,147.91,5.0
132.82,1,11.65,5.0
475.47,1,507.71,4.0
57.11,1,370.65,5.0
147.96,1,463.51,4.0
24.68,1,215.66,5.0
152.17000000000002,1,287.78,4.0
64.0,1,369.56,5.0
48.72,1,166.9,3.0
58.59,1,241.54,4.0
73.47,1,50.76,5.0
185.03,1,319.91,5.0
33.54,1,141.49,5.0
114.26,1,387.52,5.0
111.72,2,349.0,1.0
220.54,1,282.82,5.0
47.72,1,322.4,5.0
110.82,1,159.42,1.0
125.69,1,167.97,5.0
115.92,1,184.96,1.0
69.07000000000001,1,481.76,5.0
80.32,2,137.46,3.5
20.03,1,224.58,2.0
53.7,1,350.5,1.0
33.68,1,411.9,5.0
150.29000000000002,1,273.46,5.0
32.43,2,74.0,5.0
41.75,1,293.38,5.0
346.45,1,195.69,5.0
189.84,1,244.94,5.0
98.09,1,111.76,1.0
78.8,1,51.74,2.0
80.2,1,200.5,5.0
4016.91,1,533.5,5.0
30.130000000000003,1,152.83,4.0
55.09,1,323.24,5.0
74.94,3,199.85,4.333333333333333
45.48,1,234.52,5.0
18.83,1,544.58,5.0
81.19999999999999,1,267.73,5.0
261.90000000000003,1,484.51,4.0
41.84,1,332.94,5.0
31.38,1,280.65,4.0
91.77,1,320.39,4.0
67.5,1,360.94,3.0
340.07,2,111.87,4.5
100.33,1,445.97,4.0
117.53,1,550.84,5.0
96.47,1,121.68,3.0
84.91000000000001,1,200.81,1.0
88.89999999999999,1,152.46,4.0
189.1,2,162.79,4.0
96.71,1,337.88,4.0
50.01,1,188.55,1.0
1429.59,1,171.42,5.0
1435.97,2,76.83,3.5
38.35,1,13.77,5.0
290.26,2,41.9,4.0
58.19,2,569.92,5.0
63.44,1,150.71,5.0
74.16,1,373.5,4.0
82.22999999999999,1,144.48,5.0
105.74,1,581.53,4.0
41.72,1,188.73,5.0
177.34,2,44.91,5.0
119.39,1,507.9,1.0
675.01,1,370.47,5.0
92.11,2,134.65,4.0
62.92,1,76.5,5.0
47.82,1,355.32,1.0
130.95999999999998,3,36.83,5.0
58.0,1,348.39,5.0
63.27,1,199.42,2.0
90.88,1,422.75,5.0
150.05,1,264.05,4.0
133.67000000000002,1,109.62,1.0
167.76,1,126.02,5.0
70.79,1,488.03,4.0
40.75,1,57.61,4.0
133.96,1,290.76,5.0
1005.81,1,159.46,4.0
142.1,1,309.46,4.0
24.0,1,209.47,5.0
139.03,1,143.95,5.0
69.07,2,45.2,5.0
94.9,1,325.9,5.0
82.02,3,278.77,5.0
115.65,1,223.62,2.0
51.69,1,298.54,1.0
194.79,1,95.81,5.0
241.25,1,204.48,5.0
790.3199999999999,1,191.84,4.0
150.87,1,345.76,2.0
41.05,1,359.77,5.0
65.71000000000001,1,323.5,5.0
32.230000000000004,1,48.38,4.0
27.29,1,94.64,5.0
142.71,1,55.47,3.0
20.29,1,177.61,3.0
111.01,1,568.56,4.0
74.5,1,26.68,5.0
23.29,1,6.91,5.0
138.39,1,248.44,5.0
28.81,1,212.58,5.0
241.48,1,152.16,5.0
46.92,1,69.75,5.0
39.42,1,529.85,5.0
47.29,1,168.99,5.0
89.17,1,322.32,3.0
49.52,1,514.81,5.0
78.19,1,177.89,3.0
97.03,1,280.24,5.0
87.58,1,23.86,4.0
32.29,3,171.35,3.0
44.1,1,300.29,5.0
192.41,1,530.9,5.0
211.6,1,329.49,5.0
58.05,1,22.97,4.0
95.31,1,215.92,3.0
72.9,2,489.76,5.0
98.6,1,155.8,1.0
73.34,2,326.93,1.0
93.28,1,31.49,1.0
67.6,1,306.41,5.0
77.06,1,494.67,3.0
308.64,1,237.3,4.0
44.87,1,58.62,4.0
86.15,1,190.64,4.0
130.9,2,47.77,5.0
261.24,1,429.79,5.0
99.82,1,188.78,3.0
209.95,1,225.41,5.0
118.02,1,331.03,4.0
60.85,1,205.87,4.0
44.79,2,290.38,3.0
317.35,1,435.84,5.0
47.69,1,331.77,5.0
85.14,1,270.9,2.0
163.68,1,282.48,5.0
29.96,3,177.96,2.0
66.00999999999999,1,216.72,4.0
117.51,1,94.91,5.0
205.86,1,78.85,5.0
419.16,1,228.97,1.0
78.19,1,21.48,5.0
237.48,2,478.73,3.0
112.46,3,44.91,5.0
222.24,1,390.56,3.0
39.28,1,267.57,1.0
214.13,1,55.54,4.0
88.72,1,270.31,1.0
29.98,3,409.91,3.0
238.44,1,75.42,5.0
85.60000000000001,1,539.36,4.0
100.75,1,87.91,5.0
62.83,1,566.83,3.0
72.15,1,193.29,5.0
417.47,2,200.85,4.0
103.16,1,214.72,5.0
305.7,1,493.74,1.0
147.15,1,241.69,5.0
68.13,1,175.49,1.0
127.14,1,281.37,1.0
230.86,1,184.88,5.0
98.78,4,36.83,3.25
35.69,1,265.97,4.0
37.9,1,201.51,4.0
88.09,1,51.79,5.0
266.86,1,383.99,4.0
412.42,1,124.78,5.0
219.28,1,219.4,5.0
108.0,1,241.63,5.0
66.24,1,138.95,5.0
82.91999999999999,1,108.95,1.0
83.37,1,130.49,3.0
62.78,1,332.77,5.0
87.64,2,351.61,4.0
37.72,1,414.98,5.0
81.1,1,76.57,4.0
42.78,1,187.31,5.0
43.69,1,377.73,4.0
43.91,1,415.87,5.0
42.79,1,97.23,5.0
94.5,1,62.47,5.0
29.1,1,480.71,5.0
46.13,2,152.64,5.0
159.11,1,589.39,5.0
168.33,1,232.42,5.0
89.36000000000001,1,176.47,5.0
1841.11,1,33.56,5.0
37.23,1,137.57,3.0
58.61,1,145.72,3.0
70.4,1,109.95,5.0
81.79,1,192.65,5.0
17.29,1,114.96,5.0
35.95,2,177.53,3.0
56.85,1,423.56,5.0
51.0,1,330.48,5.0
206.99,1,294.54,4.0
42.77,1,404.45,4.0
111.81,1,451.39,2.0
100.33,1,454.48,5.0
28.62,1,546.69,5.0
192.66,1,405.33,5.0
55.09,2,378.62,4.0
92.69,1,230.92,3.0
113.8,1,214.54,3.0
213.09,1,275.61,4.0
50.1,1,193.25,1.0
46.78,1,262.88,5.0
45.3,1,16.01,5.0
104.84,1,68.69,5.0
282.52,1,165.86,5.0
112.09,1,75.48,5.0
26.77,1,432.86,4.0
41.16,2,47.58,4.0
155.52,1,111.92,5.0
182.1,1,135.94,1.0
57.19,1,116.66,5.0
37.25,1,47.98,4.0
163.69,1,324.86,4.0
173.72,1,340.77,1.0
197.0,1,237.7,5.0
109.97,1,45.82,5.0
758.93,1,470.04,5.0
105.87,1,340.76,4.0
445.73,3,361.97,5.0
60.78,1,290.63,5.0
223.14,1,397.02,5.0
208.16,1,569.44,4.0
386.24,1,402.82,5.0
109.42,1,111.46,4.0
153.54000000000002,6,33.94,5.0
38.37,1,11.93,4.0
92.67,1,427.83,5.0
154.86,2,54.45,2.0
302.54,1,507.66,5.0
30.75,1,406.93,4.0
517.7,1,72.6,5.0
162.25,1,455.92,4.0
51.78,3,223.36,5.0
169.29,1,169.37,4.0
31.6,1,465.87,4.0
33.62,1,315.86,5.0
83.42,1,86.68,5.0
472.72,1,94.93,5.0
55.38,1,11.9,5.0
56.39,1,167.52,5.0
87.64,1,220.93,1.0
134.57999999999998,1,280.75,1.0
53.95,1,521.45,5.0
310.21,1,284.74,4.0
85.14,1,283.44,5.0
90.99,1,158.0,5.0
71.28999999999999,1,150.55,5.0
79.13,1,67.6,4.0
99.65,1,70.6,5.0
32.77,1,243.49,5.0
153.17000000000002,1,282.49,5.0
47.78,1,202.54,5.0
91.61,1,561.45,4.0
116.84,1,237.94,5.0
236.16,1,220.6,5.0
301.79999999999995,1,6.49,5.0
66.67,1,27.86,5.0
821.35,1,325.91,4.0
142.92,1,236.94,2.0
118.85,1,389.83,4.0
58.13,2,108.96,5.0
55.0,1,330.93,5.0
129.01,1,473.7,4.0
117.16,1,312.62,5.0
54.11,2,193.61,5.0
104.68,3,153.74,5.0
19.55,1,82.65,5.0
218.98,1,18.67,4.0
77.77,1,246.86,2.0
55.11,1,472.97,5.0
140.91,1,84.08,5.0
56.69,1,319.85,5.0
187.76,1,180.8,4.0
134.38,1,377.41,5.0
87.17,1,29.49,4.0
105.28,1,419.25,5.0
42.27,3,115.5,5.0
124.33,1,209.49,1.0
32.09,1,271.44,1.0
107.91,3,250.45,4.0
27.38,1,138.96,3.0
124.4,1,297.55,5.0
90.62,1,24.78,5.0
22.77,1,73.47,4.0
115.0,1,52.75,3.0
126.44,1,194.69,4.0
32.61,1,113.95,5.0
105.3,1,264.42,4.0
163.89,1,119.04,5.0
695.59,1,165.71,4.0
16.22,1,318.96,1.0
83.75,1,131.88,3.0
57.85,1,166.43,5.0
47.13,1,85.9,5.0
117.15,1,472.98,5.0
48.62,1,441.52,4.0
154.63,1,287.57,5.0
135.07999999999998,1,292.5,4.0
40.86,1,508.1,4.0
128.45999999999998,1,312.71,5.0
98.56,1,48.41,4.0
64.37,1,211.57,4.0
171.24,1,174.92,5.0
86.61000000000001,2,69.56,4.0
137.44,1,391.64,5.0
114.84,1,230.54,5.0
197.29,1,33.56,4.0
38.72,1,280.87,5.0
87.39,1,33.43,5.0
56.22,1,120.73,5.0
52.36,2,16.85,5.0
34.84,1,344.3,5.0
131.43,1,121.92,5.0
237.0,1,192.98,5.0
81.78,1,554.5,4.0
379.08,1,274.32,4.0
236.93,4,86.71,5.0
38.9,1,236.58,3.0
413.02,1,180.56,5.0
36.69,1,215.31,4.0
44.39,1,468.55,5.0
84.94,2,501.52,1.0
132.04999999999998,1,214.36,4.0
57.5,1,12.92,1.0
61.69,3,205.6,2.333333333333333
177.59,1,145.57,1.0
119.48,1,184.71,5.0
79.09,1,550.36,4.0
65.0,1,387.77,4.0
721.74,1,19.54,3.0
119.94,1,350.36,5.0
60.0,1,418.83,5.0
207.2,1,180.81,2.0
237.88,1,333.51,5.0
784.8000000000001,1,692.8,5.0
46.3,1,71.93,4.0
171.0,1,335.95,4.0
270.67,1,279.45,3.0
271.64,2,94.76,4.5
386.33,1,276.58,2.0
135.86,1,346.23,3.0
36.76,1,193.3,5.0
621.8299999999999,1,280.51,4.0
93.82,1,143.84,4.0
251.33,1,33.4,5.0
28.75,1,268.0,3.0
257.79,1,466.53,5.0
83.82,1,45.55,5.0
39.6,1,282.79,5.0
63.83,2,39.95,5.0
147.35,1,276.59,5.0
60.22,1,165.69,4.0
128.13,1,165.49,1.0
98.56,1,234.49,5.0
249.08,1,282.66,1.0
238.41,1,220.88,5.0
428.83,1,117.64,4.0
79.1,1,452.03,3.0
50.47,1,25.88,5.0
76.39,1,132.68,5.0
145.37,1,130.37,5.0
50.31,1,75.55,4.0
40.99,6,468.78,5.0
119.53,1,31.64,4.0
65.0,1,443.61,5.0
193.68,6,42.46,5.0
56.31999999999999,1,516.03,5.0
102.12,1,389.95,5.0
85.94,1,357.59,2.0
812.76,1,19.91,4.0
37.61,2,125.67,5.0
129.32,1,142.94,5.0
164.54,1,76.64,5.0
139.31,1,348.38,4.0
124.67,1,169.79,5.0
159.7,1,235.35,1.0
600.43,1,258.57,1.0
106.87,2,185.56,5.0
120.68,1,538.74,5.0
66.00999999999999,4,328.46,3.0
38.38,1,216.88,5.0
21.59,1,144.92,1.0
23.6,1,418.8,5.0
55.940000000000005,1,480.37,3.0
741.45,1,104.65,5.0
65.22,1,173.83,3.0
51.84,1,189.41,1.0
109.6,1,324.72,5.0
91.79,1,111.76,4.0
158.13,1,431.37,4.0
131.04,1,451.48,5.0
17.29,2,111.48,2.0
75.17,1,356.98,5.0
116.21,1,180.06,1.0
78.0,1,31.88,5.0
135.14,1,243.44,5.0
36.0,1,232.46,1.0
33.44,1,338.97,5.0
139.27,1,587.64,1.0
96.46,1,93.54,5.0
167.32,1,32.42,5.0
73.61,1,12.55,5.0
50.95,1,517.45,5.0
1150.54,1,408.82,5.0
40.29,1,104.48,4.0
61.22,1,172.67,3.0
175.5,1,127.72,5.0
86.93,1,215.73,5.0
87.66,1,81.96,5.0
647.54,1,364.66,4.0
121.4,1,89.98,5.0
72.76,2,286.46,3.0
248.81,1,70.46,4.0
105.38,1,188.39,5.0
141.09,1,320.96,5.0
62.5,2,408.99,2.0
135.07999999999998,1,260.86,4.0
45.22,2,123.41,4.0
36.69,1,199.74,4.0
59.31,2,33.64,5.0
215.38,1,123.81,5.0
64.17,1,200.52,5.0
65.22,1,122.82,5.0
88.51,1,69.61,5.0
42.79,1,80.83,5.0
28.04,1,150.27,5.0
64.09,1,327.98,3.0
23.78,1,357.92,5.0
187.06,1,158.91,1.0
144.56,1,248.58,1.0
21.57,2,290.33,1.0
34.0,2,314.4,4.0
62.39,1,122.64,1.0
53.13,1,174.86,1.0
146.96,1,238.63,5.0
99.9,1,129.96,5.0
42.27,1,22.59,5.0
44.41,3,40.49,4.0
64.1,1,282.55,5.0
146.9,1,416.31,5.0
109.41,1,237.79,5.0
185.26,1,503.45,5.0
69.65,1,147.39,4.0
37.32,1,506.54,5.0
54.27,1,20.85,4.0
63.580000000000005,1,124.78,5.0
91.76,1,50.41,5.0
20.34,1,154.08,5.0
69.36,2,331.79,3.0
33.17,2,436.88,5.0
128.48000000000002,1,217.56,5.0
208.59,1,553.46,5.0
42.69,1,283.83,5.0
137.47,1,227.02,4.0
57.74,1,561.73,5.0
139.82,1,141.94,5.0
153.9,2,356.89,5.0
116.95,1,108.99,4.0
101.72,1,103.63,5.0
45.39,1,139.57,4.0
77.06,2,486.0,4.0
43.29,1,123.36,5.0
69.18,1,38.46,4.0
96.19,1,379.4,5.0
33.1,1,382.46,2.0
161.37,1,400.22,3.0
248.08,1,280.04,5.0
69.17,1,452.01,2.0
125.88,2,513.38,5.0
44.0,1,223.37,5.0
140.67000000000002,1,34.61,4.0
92.41,1,274.5,5.0
453.33,1,278.96,4.0
179.26,1,333.55,5.0
54.09,1,384.35,5.0
41.75,1,378.51,5.0
90.88,2,224.73,5.0
48.01,1,438.83,5.0
111.55,1,334.78,4.0
138.5,1,16.32,5.0
138.36,1,282.83,5.0
76.17,1,451.59,5.0
21.94,1,132.87,5.0
223.14,1,396.81,5.0
36.7,1,227.65,1.0
199.47,1,289.91,1.0
49.22,1,118.55,5.0
207.79,1,252.53,4.0
137.6,1,210.81,5.0
238.41000000000005,2,136.02,5.0
178.44,1,393.43,1.0
164.8,1,268.89,5.0
65.0,1,415.75,4.0
74.16,1,258.29,5.0
90.2,2,284.91,2.0
40.0,1,461.32,5.0
202.22,4,61.97,4.0
65.24,1,321.94,4.0
134.76,1,545.56,4.0
73.34,1,296.62,5.0
131.70999999999998,1,20.47,4.0
157.73999999999998,1,158.92,5.0
44.32,1,136.98,2.0
98.11,1,19.7,5.0
156.24,1,196.65,5.0
71.88,1,152.77,2.0
367.99,1,141.96,5.0
161.46,1,256.7,5.0
44.83,2,320.9,5.0
35.69,1,202.59,5.0
142.54,1,149.65,4.0
125.53,1,327.64,5.0
181.99,1,341.74,1.0
104.37,1,192.9,4.0
622.86,1,38.42,5.0
91.86,1,188.55,4.0
22.33,2,289.9,5.0
71.14,1,226.22,5.0
51.31,1,44.02,5.0
33.51,1,495.75,4.0
115.02,1,403.56,5.0
236.21,1,338.63,5.0
178.39,1,205.96,5.0
343.5,1,409.4,4.0
179.22,1,17.78,5.0
148.58,1,412.48,3.0
87.36,1,322.77,5.0
39.13,1,137.4,5.0
72.05,1,180.82,3.0
133.95000000000002,1,518.68,5.0
40.85,1,378.64,3.0
89.67,2,277.52,1.0
36.96,2,66.74,4.0
133.75,2,171.74,5.0
570.98,1,454.47,5.0
100.85,1,427.63,4.0
66.73,1,572.96,5.0
164.6,1,229.52,4.0
472.41,1,397.4,4.0
113.92,1,496.49,1.0
86.76,1,450.74,4.0
77.53999999999999,1,585.39,2.0
96.8,1,257.64,4.0
215.83,1,354.92,5.0
228.14,2,169.83,5.0
68.73,1,232.61,5.0
167.49,1,217.43,5.0
57.82,2,565.78,5.0
186.18,1,88.94,5.0
30.1,1,300.71,4.0
86.23,2,282.43,3.0
70.89,1,78.63,4.0
106.07,1,82.49,5.0
21.04,1,160.65,5.0
93.91,1,131.7,5.0
249.89,1,37.49,5.0
27.75,1,213.84,4.0
119.84,1,234.72,4.0
144.56,1,361.6,4.0
167.51000000000002,1,302.75,3.0
56.78,1,282.67,2.0
30.76,2,499.69,5.0
215.06,2,241.53,5.0
131.14,1,281.47,1.0
399.62,1,87.8,5.0
197.11,1,389.66,4.0
235.18,1,243.62,5.0
87.7,1,431.68,3.0
118.43,1,154.54,5.0
59.0,1,61.93,5.0
282.07,1,39.68,4.0
71.78,1,102.41,5.0
62.37,1,214.65,1.0
82.33000000000001,3,153.45,4.0
69.97,2,16.33,3.0
153.1,1,16.97,5.0
56.69,1,395.88,5.0
21.49,1,80.56,4.0
71.25,1,160.63,1.0
85.16,1,373.32,5.0
26.71,2,529.48,5.0
150.05,1,440.53,5.0
